"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
166,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
167,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
168,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
169,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
170,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
171,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
172,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
173,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
174,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
175,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
176,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
177,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
178,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
179,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
180,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
181,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
182,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
183,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
184,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
185,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
186,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
187,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
188,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
189,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
190,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
191,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
192,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
193,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
194,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
195,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
196,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
197,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
198,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
199,0,0,0,0,0,,,,,,,,"7_8","7~8"
0,0.2007714807987213,0.5882353186607361,0.8235294222831726,0.3529411852359772,0.7466458082199097,0.0865027904510498,0.0882352963089943,6.411764621734619,-10.466529846191406,82.35294342041016,28,0.05850353091955185,"7_9","7~9"
1,0.06375408917665482,0.02985074557363987,0.26865673065185547,0.11940298229455948,0.264986127614975,0.23695051670074463,0.014925372786819935,1.8358209133148193,-3.583178997039795,26.865671157836914,46,0,"7_9","7~9"
2,0.021788787096738815,0.0317460335791111,0.0793650820851326,0.0476190485060215,0.07830998301506042,0.061348725110292435,0,0.682539701461792,-1.0643649101257324,7.936507701873779,51,0,"7_9","7~9"
3,0.06831008195877075,0,0.2631579041481018,0.15789473056793213,0.25634604692459106,0.23821118474006653,0,1.736842155456543,-3.272895097732544,26.3157901763916,56,0,"7_9","7~9"
4,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
5,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
6,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
7,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
8,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
9,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
10,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
11,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
12,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
13,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
14,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
15,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
16,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
17,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
18,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
